label,study_and_condition
__label__0,study interventions are Immunoglobulins . recurrent adult lymphoblastic lymphoma diagnosis and chronic lymphocytic leukemia cll
__label__0,study interventions are Metronidazole . recurrent ovarian epithelial cancer diagnosis and serum glutamic oxaloacetic transaminase sgot aspartate aminotransferase ast or serum glutamic pyruvic transaminase sgpt alanine aminotransferase alt equal_than less_than three uln
__label__1,study interventions are quality-of-life assessment . multiple myeloma diagnosis and is hearing impaired to the degree that they are unable to hear instructions via the phone
__label__1,study interventions are Busulfan . symptomatic ischemic heart disease
__label__1,study interventions are Thalidomide . prior malignancies within the past three years with exception of adequately treated basal cell squamous cell skin cancer or thyroid cancer carcinoma in situ of the cervix or breast prostate cancer of gleason grade six or less with stable prostate specific antigen psa levels
__label__0,study interventions are Gemcitabine . pancreatic cancer diagnosis and clearance period from prior therapy more than four weeks
__label__1,study interventions are Docetaxel . tongue cancer diagnosis and severe active co morbidity defined as follows
__label__1,study interventions are O(6)-benzylguanine . aids related immunoblastic large cell lymphoma diagnosis and patients who are hepatitis virus hcv antibody positive or hepatitis virus hbv surface antigen positive must be free of clinical evidence of cirrhosis that would otherwise make them ineligible for hct as determined by the principal investigator in consultation with the gastrointestinal service patients with hbv and ongoing evidence of viral replication may require therapy prior to receiving high dose chemotherapy
__label__0,study interventions are Prednisone . lymphoma diagnosis and at least six months hematopoietic
__label__1,study interventions are questionnaire administration . recurrent squamous cell carcinoma of the larynx diagnosis and at the discretion of the physician
__label__0,study interventions are Fludarabine phosphate . angioimmunoblastic cell lymphoma diagnosis and human leukocyte antigen hla genotypically or phenotypically identical related donor
__label__0,study interventions are Sirolimus . stage iii multiple myeloma diagnosis and ast and alt equal_than less_than doc times upper limit of normal uln
__label__1,study interventions are LDE225 . metastatic colorectal cancer diagnosis and added or homicidal_ideation risk of doing_harm to self or others or patients with active severe personality disorders defined according to ds negative iv diagnostic and statistical manual of mental disorders fourth edition are not eligible
__label__0,study interventions are Keyhole-limpet hemocyanin . bladder cancer diagnosis and karnofsky sixty one hundred
__label__0,study interventions are Docetaxel . breast cancer diagnosis and unstable angina pectoris
__label__0,study interventions are Temozolomide . malignant glioma diagnosis and pregnant or breast feeding
__label__1,study interventions are Dexamethasone . stage iiic fallopian tube cancer diagnosis and patients with clinical symptoms or signs of gastrointestinal obstruction and or those who require parenteral hydration and or nutrition patients with history or current diagnosis of inflammatory bowel disease are not eligible
__label__1,study interventions are Thalidomide . lymphoma diagnosis and history of stroke or intracranial hemorrhage within six months prior to study entry
__label__1,study interventions are 3D-CRT (photon) APBI . breast cancer diagnosis and active connective tissue disease
__label__0,study interventions are Albumin-Bound Paclitaxel . histologic confirmation of the original primary tumor is required
__label__1,study interventions are Fludarabine phosphate . extranodal marginal zone cell lymphoma of mucosa associated lymphoid tissue diagnosis and cardiac
__label__0,study interventions are Dacarbazine . glioblastoma diagnosis and karnofsky performance status greater_than seventy
__label__1,study interventions are Trastuzumab . recurrent breast carcinoma diagnosis and angina pectoris that requires the current use of anti anginal medication
__label__1,study interventions are Cisplatin . small cell lung cancer diagnosis and patients should not participate in other investigational agent study while taking part in this trial
__label__1,study interventions are Antibodies . recurrent lip and oral cavity squamous cell carcinoma diagnosis and pregnant women are excluded from this study breastfeeding should be discontinued if the mother is treated with either agent
__label__1,study interventions are curative resection with Pringle manoeuvre . preoperative anti cancer therapy
__label__1,study interventions are Lapatinib . malignant solid neoplasms diagnosis and active clinically serious bacterial or fungal infection
__label__1,study interventions are Clopidogrel . breast neoplasms diagnosis and patients with serious bleeding disorder that make them inappropriate candidates for nsaid therapy
__label__1,study interventions are Dalteparin . myeloma diagnosis and ecog greater_than two
__label__0,study interventions are Thalidomide . recurrent adult lymphoblastic lymphoma diagnosis and calculated creatinine clearance greater_than equal_than fifty ml min using the cockcroft gault formula
